Thread ID,URL line
31,"""<@Lucius> It already looks okay in terms of indentation level. Certainly you could factor out more functions, but I'd say it would be your choice of how to do it. Find any bit of code that looks like it could be self-contained, create a function from it, and only return whatever is needed for the next part of the program""
"
32,"""so, I’d advise not using it and use the suggested `pipwrap` lib <@Rufus>""
"
33,"For my use Case:I need to sort &amp; count uniq contents in those lists.Means , the flow of program is :
"
34,"For my use Case:I need to sort &amp; count uniq contents in those lists.Means , the flow of program is :
"
35,"""<@Jennifer> Gonna try to creep up on this slowly, because you are getting object __str__ in the output, so things might go sideways. First try:; ```
"
36,"What is the prefered way to distribute python programs?
"
37,"""<@Bart> Also try VS Code for Python. It's open source, and is quite good: <https://code.visualstudio.com/docs/python/python-tutorial>""
"
38,"""<@Harvey> for other developers, create a package. Try Flit: <https://flit.readthedocs.io/en/latest/index.html> or Poetry: <https://poetry.eustace.io/> . Use them to package your code and to publish it in <https://pypi.org/> . There are many tutorials using `setuptools` and `setup.py` files, but for new packages is way easier to use these new tools.
"
39,"
"
40,"""*Create an MP3 file from samples?*
"
41,"""<@Jettie> Thanks, just read the documentation but can't see a clear way of doing this. Is it something a beginner could achieve?""
"
42,"
"
43,"
"
44,"""im still so speechless, and when im speechless i need to take a week or a year off, better yet why not until 2025,
"
45,"...
"
46,"""What would be a good catch method for text entries? This code currently outputs the text entry that needs to be fixed, but it doesn't notify which entry. There are 4 text entries and I need the catch method to define which variable is error-ed out?""
"
47,"
"
48,"""```python example.py
"
49,"  SNIMissingWarning
"
50,"  InsecurePlatformWarning
"
51,"Does anyone know how to get pycharm to NOT run scripts in the python console and instead run them in the actual run portion
"
52,"did you goto that url?
"
53,"`BASE_DIR = os.path.dirname(os.path.dirname(os.path.abspath(__file__)))`
"
54,"ah'; have you begun to look at the log files?
"
55,"Would it be alright if I ran it on port 8020? There’s a wordpress site being displayed on port 80. My Django proj is just backend stuff; they already had apache on the server so it seemed easiest
"
56,"wtf
"
57,"""apparently, they are gone again.; like, i realize that i was brash, but i definitely answered his question before i laid into, be a better human because you currently suck.""
"
58,"The above link get updated every 5 min
"
59,"None; got it thank you every one
"
60,"okay I will try out (with); thank you all for helping
"
61,"booo
"
62,"""There may be an easier way to do this if there's a """"blank Q"""" object to start with. Or maybe do a reduce with operator-OR.""
"
63,"So page auto reloading not redirect page (edited)
"
64,"Why are you using `json.dumps()`?; What does `cur.fetchall()` give you?
"
65,"```TypeError: argument of type 'datetime.datetime' is not iterable```
"
66,"""<@Leonore> <http://weworkremotely.com|weworkremotely.com>, <http://remotepython.com|remotepython.com>, keep an eye on the Hacker News who is hiring thread. (<https://news.ycombinator.com/> the Who is Hiring thread posts on the First workday of every month. Here is January’s <https://news.ycombinator.com/item?id=18807017)>""
"
67,"""Hey guys,
"
68,"""as you get comfortable, i’d start researching topics on how to properly structure your schema to get the best performance for your data.; implement a new schema and play with that while using data.; id start with that anyways""
"
69,"ty
"
70,"""def is_pangram(sentence):
"
71,"""Is constructor overloading is possible in python via this way?
"
72,"
"
73,"""Thanks, i’ll check it out. <@Lydia> :taco:""
"
74,"""this is cool, but horrible in my opinion...; doing too much sorcery with Python makes the code very hard to read""
"
75,"""you could be correct; &gt;Last image is skipped
"
76,"<@Jettie> :taco:; perfect; the pause between frames must have been the issue
"
77,"AFAIK Decimal is the best best
"
78,"""<@Shan> yeah, looked into Poetry. Would be OK with using this, but I'm still equally unsure of how to do what I'm asking. There doesn't seem to be any option or section of the toml file or anything that relates to saving private user info. Also doesn't really help with best practices for saving stuff like this (should it be saved in a user directory, and the package should just expect them to be there? or...)""
"
79,"""Always be sure to think about the consumers.  Honestly, the biggest deterrent of most things, ease of use.  If you require some complexity in your configuration, outside of the standard norms, it may not be appreciated and used as much.  ""
"
80,"""Does this not work for you?
"
81,"
"
82,"I'm not a lawyer or anything but afaik it is if you don't change the license; but it might be interesting to discuss with the original author if a fork is really necessary. Maybe they are willing to add what you need in it ?
"
83,"````""
"
84,"""from sklearn.datasets import load_iris
"
85,"""I think i see what you're saying. So instead my if function should just test to see if i is a in the alphabet. And i was wanting to add i to alphabet if it wasn't already in there. So now i have this. It's still failing but hopefully i'm closer to the right idea now.                                                                            def is_pangram(sentence):
"
86,"Is there anyone here familiar with SQLAlchemy?
"
87,"And there's also <#C1PB8ME48|sqlalchemy>
"
88,"Hi all. I have a problem. I am trying to model users in my application and only one kind of user has a relationship with a model called `Department`. Basically the user in question belongs to a department but other users of the application don't need to have a relationship with a department.; How do I model the different users? Should I have a different model for each kind of user or is there a way to model this while using one `User` model?
"
89,"""It looks like it's using numpy arrays here, so an array slice is probably the way to go.""
"
90,"""Are these outputs valid ?  :
"
91,"""It's at least claiming 98-99% accuracy on the trained model, so there's no immediately obvious error. Are you suspicious of it for some reason?""
"
92,"great thanks
"
93,"oh gross.
"
94,"For more information on inline code formatting with backticks click <https://get.slack.help/hc/en-us/articles/202288908-Format-your-messages#inline-code|here>.""
"
95,"much more readable
"
96,"For more information on inline code formatting with backticks click <https://get.slack.help/hc/en-us/articles/202288908-Format-your-messages#inline-code|here>.""
"
97,"please refrain from using pictures.
"
98,"""Wow, Worked perfectly <@Shan> I was thinking in use a for to extract , use join and append to a list, your approach is much better. I was doing wrong using '(' and ')' beacause clearly should give me groups for each part of regex, Thanks a lot!""
"
99,"""somebody help please? am trying to mocking user input as key and value dictionary and wanna do Python unittesting, but couldn’t find online resource or example""
"
100,"""Thank you <@Conrad>, will definitely look into this. I’m confused as to why aws is giving me a different response even though I explicitly said I want the PST timezone. :taco:""
"
101,"""I wrote the comment, then I thought """"hmm, is that really Bash syntax or am I just making it up? I should check it before posting.""""
"
102,"""ah, yeah, that would be helpful""
"
103,"""Thanks, nice find. I tried some of the methods listed here and it illuminated another issue I think I need to solve first. ```AssertionError: 2 columns passed, passed data had 34 columns
"
104,"""Sorry got hit with a powercut here, looking into it now; The results are correct; I did modify so `headers=False`, same result""
"
105,"can somebody help here please <https://pythondev.slack.com/archives/C07EFMZ1N/p1547543796309000>
"
106,"""<@Jimmy> <@Clemmie> Thanks you, i will look at it !""
"
107,"""Anyone knowledgeable on adding sheets to an excel file using pandas? This code ends up overwriting the entire workbook or sheet. (one or the other, I only had 1 sheet in the workbook to begin with). Some examples as shown here: <https://stackoverflow.com/questions/42370977/how-to-save-a-new-sheet-in-an-existing-excel-file-using-pandas/42371251> look similar to what I have and I am not sure how it is different in the form of telling it to add sheets rather than overwrite them.""
"
108,"""<@Olevia> it sounds like you mean divergent and convergent in the context of a mathematical series, is that right?; As in, a convergent series is one where limit of x -&gt; infinity is well defined""
"
109,"""For the moment i need to check if a series is convergente or divergent, then i will check the series has a limit""
"
110,"""Wait, if this is for homework shouldn’t you be coding the algorithm?; Basically implementing what you read in that link? (Which I have not read, just glanced at)""
"
111,"""I've tried with a list like [1, 2, 3, 4, ...], it's easier, but i think if i want to do a very good function, it should be a mathematical function; I think i will see if it's possible to use finite sequence, it would be much easier to try to develop""
"
112,"I'm in 2.7 still; Requests is 2.19.1; How do I figure out what the encoding is?
"
113,"""Hey <@Hiroko>, thanks for getting back to me. It looks like the issue with with /python3.6/functools.py tho, which is part of the requests package. Basically, I’m trying to make a url request, but functools.py line 370 keeps failing and trying to call itself again and again; is there a known issue with functools.py?""
"
114,"        response.raw.read = functools.partial(response.raw.read, decode_content=True)
"
115,"""I am Getting this error message while running `from NseTools import nse`
"
116,"I understand my memory concerns; What I need is an alternative way to accomplish this; A system with 16GB ram is enough to allow uploading 2MB file to a database I think :thinking_face:
"
117,"""I am Getting this error message while running `from NseTools import nse`
"
118,"thanks <@Shan>  currently not at desk i will change and revert 
"
119,"""That's probably just slurping everything into a single column, though. The problem is the trailing comma, which implies an extra column. Do you have any control over how that file is generated?""
"
120,"""thanks ill give it a read; ```&gt;&gt;&gt; s = smtplib.SMTP('localhost')
"
121,"""well i tried to directly insert the data creating a new dataframe, but its giving an error """"Shape of passed values is (1, 10), indices imply (10, 10)""""""
"
122,"""<@Mica>, its not a Python frontend as such......I just want to use Python in the current HTML/CSS template I have to communicate to an existing REST API, dont know if this make sense""
"
123,"I don’t think I follow this but i’ll reread it a few times
"
124,"Okay thanks guys this looks promising; <@Caridad> :taco:; <@Claudine> :taco:
"
125,"seems like it has to do with how you execute run.py
"
126,"okay
"
127,"<@Conchita> I’ll suggest you this video as a brief introduction : <https://www.youtube.com/watch?v=F37fV0uFf60>; And this course has a nice hands-on w/ Pandas <https://www.coursera.org/learn/python-data-analysis>
"
128,"""How can I merge a list of attributes to their associated dictionarys?  My process uses request calls to a list of names, which then I need to make another separate resource request to get individual characteristics that i have to loop each individual separately.  For me to use them later I would like to attach names with their corresponding information.
"
129,"""You need to break your problem down if you want anyone to answer that, your current question is really, really specific; as I understand it you want to persist something (a login token) across processes. So, you could use something like Redis, a database or even something as simple as a plain-text file; When your beat process starts, just check if the token is there. If it’s not, log in and store the token. If the token has expired and you get an error, repeat the process above.; Protip: When writing a question on stack overflow (or anywhere else) make it as general as possible. If you can’t, then you don’t understand the problem well enough and you should work on improving your understanding of the problem :+1:""
"
130,"""[Windows] Hi all! I'd like to fully convert to Python Launcher on Windows in our organization. However lots of our scripts look like
"
131,"""Oh right, I misread the original question.; I’d just fix the scripts; seems the more correct way, rather than removing python from the PATH""
"
132,"req=urllib.request.Request(url,headers=hdr)
"
133,"""Oh, I think I see. You need indents for your `if` blocks. I'm surprised you don't get an interpreter error.""
"
134,"none of that is particularly pythonic :confused:; the reason the `process_matches` is slow is the mongodb insert I expect; and it’s full of mixed concerns
"
135,"I have the hardest times with code snippets in Slack.....
"
136,"<@Hiroko> hmm nice one. but i dont think this will exactly fit my need; any other better approaches to control this in python; I want to split a list into batches
"
137,"""yes, how would i implement something simple in python""
"
138,"""at the moment bs4; sleep will do actually, thanks""
"
139,"""Advent of code has some interesting problems as well, although they are more focused on algorithms than general problem solving.; And can of course be solved even though it's not december""
"
140,"""Has anyone here done some heavy production level work with schedulers? E.g do something at a specific time, interval, at this timezone
"
141,"
"
142,"""Yes, I have datadog logging a bunch of stuff. I can show you some interesting graphs.
"
143,"""haha, yes its basically like - have you turned it on? :joy:""
"
144,"""The first one is total requests, and 3rd is latency. Both are actually for postgres, the db""
"
145,"And won’t be implemented anytime soon; <https://www.python.org/dev/peps/pep-0426/>; There really isn’t a need for that kind of rigid hierarchy with python. The conventions are less enterprise-y and more relaxed 
"
146,"""Yes, PEP-423 seems more like guidelines. I don't think there is much to implement per se.""
"
147,"""(Btw, thanks for your very unique nickname!)""
"
148,"``` I have tried both format methods as you can see in my code. I suspect it is because of the parenthesis here, but not sure how I should get around this?; I removed the rest of the scraper logic for readability""
"
149,"
"
150,"
"
151,"
"
152,"```""
"
153,"""If I understand your question, it looks like the module has a `convertToCsv()` method which takes a string and outputs CSV lines.""
"
154,"""thats what i see a lot; as soon as i first researched global variables (because i used them frequently in vba for excel), I was telling myself """"stay away...:zany_face:"""".""
"
155,"run `python --version` for me?
"
156,"yes
"
157,"""ok, wait, think I figured it out but now I'm haivng another problem; now its stuck at receiving the response; alos openssl command looks like its working; <@Jonas> any ideas ?; fixed :smile:; AAAND i'm a total idiot""
"
158,"""back in my previous company, we used setup.py based installations for our projects and we have a requirements.txt and requirements_dev.txt. The latter had requirements such as pytest and nose; I don't quite remember what our deployment pipeline was like. we did have CI.""
"
159,"Does anyone know what python method is run during tear down in the with statement?; Trying to mock is out so it doesn't destroy the magic mock/patch
"
160,"Can you elaborate <@Nery>? you need to mock out a method that destroys a magic mock?
"
161,"SNES Nostalgia
"
162,"<@Hiroko> 3.4 asyncio is some preliminary version IIRC; e.g. used decorators and `yield from` syntax for coroutines
"
163,"<@Earleen> its highly dependent on your hardware
"
164,"I got fed up with that approach and decided to lookup the /proc filesystem instead. gives me what I need.""
"
165,"I can't see anything like devices in his profile
"
166,"Uhm; What made you want to install that?
"
167,"""I have seen it, but i want from Phill to 22""
"
168,"The second link is wrong. 127.0.0.1 isn’t the IP of a VM when you are SSHing in from the host.; That’s why it failed for that person ; Checking first one
"
169,"""i saw that 2nd link on google results but never looked at it. but now i should have; this is a work computer and i doubt they'd care if i setup ssh on this pc, but i'd just use a vm to make things more manageable for our IT guy (so he doesn't have to mess with it).""
"
170,"""oh yea, thats perfect!; found: <http://www.tldp.org/LDP/intro-linux/html/index.html> through that link; thanks""
"
171,":+1: TLDP is a great resource..
"
172,"<@Rodrick> you come up with anything?
"
173,"   &lt;Header/&gt;
"
174,"""<@Marc> No, not yet.""
"
175,"""I don't have an answer, other than to say pipenv is hell.""
"
176,"######################################################################## 100.0%
"
177,"""Not including _required_ packages in the install docs is really poor form. :confused:; """"optional"""" – no, if it doesn't work without them then that thing isn't optional.""
"
178,"Installing Python-3.6.4...
"
179,"""I have already installed xcode a lot of time ago :thinking_face:
"
180,"Done.
"
181,"
"
182,"""None; that works in PG, but I'd like to do something similar with a dataframe; I am not looking to load the data to PG, but rather create a JSON file in that format""
"
183,"   d.addCallback(log_result)
"
184,"run `python -m pip freeze`
"
185,"""Guys perhaps you could help me out a bit to flesh out a class that would implement a certain behaviour. So basically the way I want to use it is:
"
186,"<@Coleen> what kinds of methods?
"
187,"What's the drawback on long f-strings?; It's like a template with no grammar and no dependencies
"
188,"i feel you're gonna tell me that world exists
"
189,"""My newest notebook:
"
190,"""I use POSTMAN to test my REST API. Now trying to Automate it using PYTHON
"
191,"
"
192,"For more information on inline code formatting with backticks click <https://get.slack.help/hc/en-us/articles/202288908-Format-your-messages#inline-code|here>.""
"
193,"Is the API expecting a form post or a JSON string as the payload? You may want to look at `response.text` to see whether it's sending what you expect.
"
194,"just use `my_list.append({'blah': 'xxx'})` ?
"
195,"Thanks <@Ashley>
"
196,"I take it you're just attempting to determine if the mail server comes back with an error when you do 'rcpt to: ' in an SMTP session?
"
197,"
"
198,"""For one of my scripts that runs continuously, how do I catch when I lose internet connection? I have tried catching this one `requests.exceptions.ConnectionError` , but failed""
"
199,"Thank you very much.""
"
200,"Sorry.
"
201,"I'm very inattentive
"
202,"""anyone got pexpect/pxssh to work with windows ?; I don't know what to google to find a solution to my problem, but running my code line by line will print the entire output whereas if I just run it straight, it outputs only the first line?""
"
203,"    print(smtp.docmd('helo hi'))
"
204,"Thanks for the help!
"
205,"<@Lamont> go ahead and paste your code here. (use the + button and choose ‘code or text snippet’)
"
206,"None; <@Sasha>
"
207,"Can anyone help me install Mongodb? Mongodb failed to start and i can't figure out which version of kb2999226 to download.
"
208,"""I'm not sure, but I think HTTP error codes are given to the listener's `on_error()` callback. So you might need to raise an exception there if you want to handle them that way.""
"
209,"Can you elaborate more on the X you're talking about; ?
"
210,"""Great, reading now""
"
211,"Clients are always better tho; You won't need to handle network errors yourself; at least
"
212,"Boom! That worked <@Jimmy>; Have a hot :taco: <@Jimmy> Thank you
"
213,"this problem is driving me insane - given a arbitrary string - return a list of valid json strings/ objects. Is there any way to do this easily without regex and recursion? <https://stackoverflow.com/questions/21994677/find-json-strings-in-a-string>; I dont want to implement some kind of lexical parser...
"
214,"Can you show us your i/p?
"
215,"And you need a solution using python or php?
"
216,"""Your use case is pretty straightforward imo; You just have to pickup stuff between `{}` and form a dict right?; To convert a string back to json you have `json.loads()`; <@Renna>; So, what exactly are you trying to achieve?; And tell us more about your use case?""
"
217,"    ~(inter_freq_internal_freq['eNodeBName'].isin(sites_file['*eNodeB Name']))]```; i would break from there but the `~(inter_freq_internal_freq['eNodeBName'].isin(sites_file['*eNodeB Name']))` is way long and is pretty much a separate thing; so i would assign that to a variable and then use that in the outer bit; ```dat_thing = ~(inter_freq_internal_freq['eNodeBName'].isin(sites_file['*eNodeB Name']))
"
218,"""```
"
219,"""the documentation may be wrong tho, github on master has `is_async`; or the package is installed straight from git""
"
220,"""numpy==1.14.2; I'll look into those issues, thanks <@Hiroko>, appreciate it""
"
221,"""thanks for the help again, I just made a venv with python3.6.8 and it worked out. Upgrading numpy to 1.16 didn't work. Incase you wanted an update.""
"
222,"<@Kiera> never heard of that nor have i come across it through my research. ill definitely check it out. thanks.
"
223,"Can you show the code for your `project_list` view?
"
224,"If you're using older stuff: <https://winscp.net/eng/docs/guide_windows_openssh_server>""
"
225,"""yes, it is. I can add new instances in the admin panel""
"
226,"""Using a string. """"key"""", not key; this is a <#C07EW4DNE|learning_python> question IMO""
"
227,"oh yea. that will defintely make up for what i am trying to do; its frustrating that i sometimes am unable to find solutions like so
"
228,"""Seriously thanks, every where else in my code I had the correct string represented and I just got stuck...""
"
229,"""<@Jonas> but if its truly ephemeral, why even use a property? That isn't what I would expect as a consumer of your api""
"
230,"Can anyone direct me to a decent guide/tutorial on how to deploy multiple python apps on one digital ocean VPS? I currently have a django app running on a VPS with nginx and gunicorn. Now how can I deploy a flask app on the same server? Please and thank you.
"
231,"Thank you
"
232,"""<@Conchita> Im at chapter two, so far it seem alright but i have no comparison to any other ML book. Only started reading it because its short and i can try stuff out on python.""
"
233,"by using PySimpleGUI i am able to display the selected pdf.; But i want to display the list of pages in sidebar
"
234,"so do i `import modules.module` after creating init there?; or just `import module`
"
235,"""Need some advice on this. I have a table that stores user events e.g. event_id = 0 might be an entry and event_id = 1 might be an exit.
"
236,"""<@Elene> awesome, thanks for your help!""
"
237,"""well with every scrape I have a title. with this title I want to make a unique ID; since an int is way faster to put away in sql; so `"""" this is a title""""`, and when I hash it to an int will be `""""34504038584""""` (example)""
"
238,"""I have 2 entries, but that’s because the timestamps are unique, if you wish you can completely ignore the milliseconds; ```
"
239,"""Will check this out - thanks for the advice, owe you a :coffee: or :beers:!""
"
240,"""<@Sau> Like the bot says, if you can give a little more overview, maybe we can help""
"
241,"<@Randal> you could give it a unique name and try some find utility to try and find it on your harddrive; if you know where it ends up on your drive could give a hint why it gets there
"
242,"""I'm trying to find a good resource on how to leverage `map` tasks in celery, but nothing I've found gives practical examples. Does anyone have experience with this?""
"
243,"""I am cleaning data. My csv file contains company name and website but for some reason there are url in my name column. So i want to print all the urls in the name column. Above code gives me """"'float' object has no attribute 'startswith'"""" error
"
244,"<@Clemmie> if str(x).startswith('http'): worked thank you; <@Sparkle> yes they are mixed
"
245,"oh cool
"
246,"""i mean you can pass a general pattern to hopefully catch most cases - basically `\S+\.[A-Za-z]{2,3}`  usually url regex are more robust - but in the interest of not needing to know about all edge cases and just wanting to flag if the string looks like it might be a url - `\S+` means any consecutive non-spaces, then a literal `.` followed by ether `2 or 3 letters`""
"
247,"wow just 1 statement can check for all the cases thats awesome
"
248,"""```
"
249,"""<@Francesca> It's basically doing string variable substitution. If `""""key""""` is in `vardic`, then it replaces `""""{key}""""` in the string with the associated value in the dict.; It's not immediately clear to me why your colleague implemented this instead of using `str.format()`.""
"
250,"""i just stumbled upon that, i’m gonna give it a shot; thanks!""
"
251,"""hmm i dunno if this will get me what i need, but it’s useful for sure; i think some creative use of `filter()` might be what i need""
"
252,"""ive done that a year ago, i can check my code wait some minutes; ok, used cx_freeze; here is the setup; ```from cx_Freeze import setup, Executable
"
253,"""So I’m trying to work with a subprocess where the subprocess is asking for input, but I want to store the output; input gets passed to the process. But as I’m storing the output in subprocess.PIPE it isn’t being shown on the screen; I’m probably missing something but I rarely use subprocess; Anyone know a way to print the output while still capturing it?""
"
254,"thank you <@Clemmie> I will read this as well
"
255,"""thanks <@Carmen>, Can you tell me what do you mean by top level package.""
"
256,"""ha, missed that entirely; sorry!""
"
257,"is adding the __init__ a python 2 thing? I've never had to do that before?
"
258,":rubberduck: :grinning:
"
259,"response = urlopen(link)
"
260,"you Rock man!
"
261,"For more information on inline code formatting with backticks click <https://get.slack.help/hc/en-us/articles/202288908-Format-your-messages#inline-code|here>.""
"
262,"None; are you able to see
"
263,"""as in read, write, append, etc; pretty much what <@Mica> said; so right now you’re opening the file in read-only mode""
"
264,"""I don't know if this is an algorithmic issue or a Python issue, but my greedy approach to 2D peak finding is blowing out the recursion stack.; None""
"
265,"question; if im using zip even though I cast it to a list for some reason im returning a generator object; None
"
266,"hmm tried using that.. somehow its not getting timed out.. never mind
"
267,"<@Leana> I am a pretty bad offender however someone asked me the other day what I found most useful when learning to code - how to know what you are trying to ask
"
268,"It is a tech channel where you can find videos on programming. Mainly we make videos on ML,AI and Cloud. Anybody want to contribute to us please contact us. Please subscribe the channel so that we can teach people free of cost. Your one subscribe can help a lot
"
269,"""how would pickling the data make a difference? I've worked with pickle, just not necessarily for that.""
"
270,"""yea read_csv definitely stores it into memory. mem usage doesn't spike too bad, but any lower end pc may hate having to load that big of a file everytime.; trying that atm to see the difference""
"
271,"""thanks <@Hiroko>, i will do some modifications""
"
272,":eyes:
"
273,"Hey all. Not sure if this is the best channel for it but am looking for a freelance dev in Australia to help with some work over the next few months. DM me if you're interested. Have a taco-licious day :slightly_smiling_face:
"
274,"parsed = urlparse(url)
"
275,"```; if you see the input and output are the same, not sure where i did wrong?""
"
276,"""well or basically:
"
277,"        self.go_state_connected(); go_state_connected dosent get called""
"
278,"For more information on inline code formatting with backticks click <https://get.slack.help/hc/en-us/articles/202288908-Format-your-messages#inline-code|here>.""
"
279,"None; None; None; None
"
280,"""<@Hiroko>: almost everything is turned on.; same with intentions; well, it does suggest type hints""
"
281,"<@Javier> where are you running the script from?
"
282,"My phone is dying I'll have to look at that later.
"
283,"
"
284,"the top answer seems like the best
"
285,"nice find <@Jettie> :thumbsup:
"
286,"web_1        | DEBUG amqp 2019-02-05 14:08:00 using channel_id: 1
"
287,"DEBUG amqp 2019-02-05 15:29:35 using channel_id: 1
"
288,"but since in the docker environment there is a hang and not an exception, it doesn’t feel like the exact same thing….
"
289,"if you `docker-compose run` the container you can attach
"
290,""":parrot: I managed to hit a breakpoint and get a console!
"
291,"is use ```if form.validate_on_submit():``` for froms; o you are already using that; does what you have not work?
"
292,"what happens when you put a pdb breakpoint after the log call and step into the next  line?
"
293,"<@Hiroko> sure thanks so much I will try that
"
294,"""Hello All, can anyone suggest how to find all social media links linked to person, we have person (name, email, phone number, location ). Thanks in advance""
"
295,"whats that..?
"
296,"<@Chester> posted a good link as well <https://www.mikeash.com/getting_answers.html>
"
297,"is it possible to run assembly with python?
"
298,"^ looks windows-only though
"
299,"""Even though this is really abstract hacky python, it's still interesting.  :taco:  <@Carmen>; particularly `super().__init__(C.foo)`""
"
300,"""I'm planning to ugprade to python 3.5 soon. so is the author of the overall platform, which is where this bug first appeared.""
"
301,"    use_natural_foreign_keys=True,
"
302,"""I saw this post but got lost in it - sorry…  Thank you!; Changed it and then also made `msg.body = MIMEText(email_content, 'plain')` to `msg.body = MIMEText(email_content, 'html')`; And it is working!  You are my SUPERHERO for the day!  Merci!""
"
303,"""Not really, if you're doing something like that then you need to use strings and handle cases where the key does not exist ; I'd recommend avoiding that pattern if you can, as you mentioned there are annoying downsides ""
"
304,"""Interesting suggestion. I just tried running the command prompt as an administrator, but no luck. Anything else I should try permission-wise?""
"
305,"Does black support single quotes yet? :disappointed:
"
306,"i put the data temporarily into a dictionary and converted that to a df to see what the data looks like. I think i need to clean it up a lot before I can properly insert it to a df
"
307,"I did not know you could do this: `int_value = int(string_number or 0)`; if `string_number` is `None` then `int_value` is set to `0`
"
308,"""Hello, complete newbie here.
"
309,"""@Simo Never used Falcon. So I’m not sure. Flask is very popular, so you’ll probably have more tutorials available for it.""
"
310,"""So you need to be somewhat careful about what you offload to a thread, if it calls a C function that doesn't release the GIL then bad things can happen""
"
311,"I was just looking there
"
312,"""I personally have issues with Flask architecture, including the use of globals; so for me, it made more sense to build with aiohttp.; also, aiohttp is compatible with uwsgi, whereas quart will need to use uvloop, Daphene, or another ASGI compatible server""
"
313,"
"
314,"""but there’s also no mention of aiohttp, just a critique; <@Deangelo> its effectively flask + aiohttp""
"
315,"hey guys anyone here work with scrapy and regex? trying to extract something out of the source code of a page with scrapy
"
316,"""Ultimately, it's not valid json, so there's not a sane way to do that verification.; Anything you do is going to be hacky to some extent or another.; You could probably try something where you replace all the single quotes that aren't escaped, but there's no guarantee that won't mess up something deeper in your json string.""
"
317,"What is `extras`?
"
318,"<@Sasha>: ah ok... but still not sure why it doesn't let me see the line break
"
319,"""<@Chester> Thanks for the response and update, but when I use create_comment, I am getting the below error
"
320,"""<@Valeri>
"
321,"Hello; I want to add the reset function on QSpectrumAnalyzer... (<https://github.com/xmikos/qspectrumanalyzer>); Can someone help please with some questions that I have?; Anyone?
"
322,"Don't ask to ask – simply ask your question.
"
323,"For more information on inline code formatting with backticks click <https://get.slack.help/hc/en-us/articles/202288908-Format-your-messages#inline-code|here>.""
"
324,"check the inline code formatting link above
"
325,"""sir_botalot. haha, can you provide some example of good question formats? that's my struggle.""
"
326,"""""""Hello! I'm working with [insert tool here], and it's giving me an error message [add error message here] when I try to do [XYZ task you're trying to do]. Does anyone know what this means and how to fix it?""""""
"
327,"`python setup.py bdist_wheel &amp;&amp; twine ...`
"
328,"
"
329,"```
"
330,"```
"
331,"```
"
332,"f2 is a user-defined function so that's not a problem
"
333,"how to solve syntax error in python?
"
334,"rip wrong one my bad :stuck_out_tongue:
"
